"측정일시","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"201711242300","강남구","0.038","0.004","0.4","0.005","16","10"
"201711242200","강남구","0.031","0.008","0.4","0.005","17","9"
"201711242100","강남구","0.025","0.012","0.4","0.005","18","11"
"201711242000","강남구","0.033","0.007","0.4","0.005","21","12"
"201711241900","강남구","0.033","0.008","0.4","0.005","20","10"
"201711241800","강남구","0.026","0.011","0.4","0.005","21","10"
"201711241700","강남구","0.021","0.015","0.4","0.005","21","13"
"201711241600","강남구","0.017","0.018","0.3","0.005","19","11"
"201711241500","강남구","0.015","0.018","0.3","0.004","21","10"
"201711241400","강남구","0.015","0.018","0.3","0.005","21","10"
"201711241300","강남구","0.015","0.016","0.4","0.004","21","11"
"201711241200","강남구","0.022","0.014","0.4","0.006","21","13"
"201711241100","강남구","0.031","0.009","0.5","0.005","19","9"
"201711241000","강남구","0.038","0.004","0.6","0.006","24","20"
"201711240900","강남구","0.041","0.002","0.6","0.005","19","15"
"201711240800","강남구","0.036","0.002","0.5","0.004","17","14"
"201711240700","강남구","0.031","0.003","0.4","0.005","17","15"
"201711240600","강남구","0.032","0.002","0.4","0.005","16","14"
"201711240500","강남구","0.027","0.005","0.4","0.004","20","13"
"201711240400","강남구","0.022","0.008","0.4","0.005","16","14"
"201711240300","강남구","0.026","0.006","0.4","0.004","20","12"
"201711240200","강남구","0.036","0.003","0.5","0.005","18","12"
"201711240100","강남구","0.036","0.003","0.4","0.005","18","9"
"201711240000","강남구","0.031","0.006","0.4","0.005","17","8"
"201711232300","강남구","0.025","0.011","0.4","0.005","16","7"
"201711232200","강남구","0.031","0.008","0.4","0.005","15","5"
"201711232100","강남구","0.032","0.008","0.4","0.005","17","7"
"201711232000","강남구","0.028","0.01","0.4","0.005","16","6"
"201711231900","강남구","0.028","0.01","0.4","0.005","18","8"
"201711231800","강남구","0.027","0.012","0.4","0.005","20","8"
"201711231700","강남구","0.022","0.014","0.4","0.005","17","9"
"201711231600","강남구","0.02","0.016","0.3","0.005","21","13"
"201711231500","강남구","0.017","0.017","0.3","0.006","21","11"
"201711231400","강남구","0.012","0.021","0.3","0.006","16","6"
"201711231300","강남구","0.012","0.019","0.3","0.005","19","9"
"201711231200","강남구","0.025","0.013","0.4","0.006","25","13"
"201711231100","강남구","0.036","0.007","0.5","0.007","27","13"
"201711231000","강남구","0.039","0.005","0.5","0.005","20","11"
"201711230900","강남구","0.039","0.004","0.5","0.006","22","11"
"201711230800","강남구","0.041","0.004","0.6","0.005","21","10"
"201711230700","강남구","0.031","0.007","0.4","0.005","21","12"
"201711230600","강남구","0.03","0.007","0.4","0.005","21","13"
"201711230500","강남구","0.017","0.015","0.4","0.006","21","9"
"201711230400","강남구","0.013","0.017","0.4","0.005","19","9"
"201711230300","강남구","0.012","0.018","0.4","0.005","20","9"
"201711230200","강남구","0.015","0.016","0.4","0.005","21","11"
"201711230100","강남구","0.021","0.013","0.4","0.006","20","10"
"201711230000","강남구","0.021","0.014","0.4","0.006","19","8"
"201711222300","강남구","0.021","0.014","0.4","0.005","17","8"
"201711222200","강남구","0.019","0.015","0.4","0.005","19","9"
"201711222100","강남구","0.018","0.016","0.4","0.005","22","7"
"201711222000","강남구","0.023","0.014","0.4","0.006","69","11"
"201711221900","강남구","0.03","0.01","0.5","0.005","124","23"
"201711221800","강남구","0.031","0.01","0.5","0.006","141","24"
"201711221700","강남구","0.03","0.013","0.6","0.007","111","46"
"201711221600","강남구","0.034","0.018","0.7","0.007","105","57"
"201711221500","강남구","0.03","0.023","0.7","0.007","86","53"
"201711221400","강남구","0.058","0.004","0.7","0.006","64","46"
"201711221300","강남구","0.054","0.005","0.7","0.006","65","44"
"201711221200","강남구","0.053","0.004","0.7","0.006","56","40"
"201711221100","강남구","0.051","0.004","0.7","0.006","51","37"
"201711221000","강남구","0.05","0.003","0.7","0.005","50","38"
"201711220900","강남구","0.052","0.002","0.7","0.005","51","39"
"201711220800","강남구","0.051","0.002","0.6","0.005","47","36"
"201711220700","강남구","0.048","0.002","0.5","0.007","44","35"
"201711220600","강남구","0.045","0.002","0.5","0.006","45","34"
"201711220500","강남구","0.045","0.002","0.5","0.006","46","37"
"201711220400","강남구","0.047","0.002","0.5","0.006","48","40"
"201711220300","강남구","0.049","0.002","0.6","0.006","53","39"
"201711220200","강남구","0.052","0.002","0.7","0.006","56","41"
"201711220100","강남구","0.052","0.002","0.7","0.006","57","42"
"201711220000","강남구","0.056","0.002","0.8","0.006","64","46"
"201711212300","강남구","0.063","0.002","0.9","0.007","60","45"
"201711212200","강남구","0.071","0.002","1","0.006","58","41"
"201711212100","강남구","0.066","0.002","0.7","0.007","59","43"
"201711212000","강남구","0.065","0.002","0.6","0.007","59","42"
"201711211900","강남구","0.063","0.002","0.6","0.006","55","38"
"201711211800","강남구","0.061","0.002","0.8","0.007","54","34"
"201711211700","강남구","0.053","0.004","0.6","0.005","42","30"
"201711211600","강남구","0.039","0.01","0.5","0.007","33","23"
"201711211500","강남구","0.036","0.012","0.5","0.006","40","26"
"201711211400","강남구","0.041","0.01","0.6","0.007","38","28"
"201711211300","강남구","0.042","0.007","0.6","0.006","49","33"
"201711211200","강남구","0.043","0.006","0.7","0.006","46","32"
"201711211100","강남구","0.037","0.006","0.6","0.006","47","33"
"201711211000","강남구","0.039","0.004","0.6","0.005","47","36"
"201711210900","강남구","0.042","0.003","0.7","0.005","49","37"
"201711210800","강남구","0.042","0.002","0.8","0.005","51","37"
"201711210700","강남구","0.04","0.002","0.6","0.006","48","38"
"201711210600","강남구","0.039","0.002","0.7","0.004","48","37"
"201711210500","강남구","0.04","0.002","0.6","0.005","44","33"
"201711210400","강남구","0.045","0.002","0.6","0.005","36","26"
"201711210300","강남구","0.042","0.003","0.5","0.005","38","26"
"201711210200","강남구","0.046","0.002","0.6","0.006","38","27"
"201711210100","강남구","0.047","0.002","0.6","0.005","43","29"
"201711210000","강남구","0.05","0.002","0.7","0.004","49","32"
